These	These	np1	These	Theise	0
so	so	av	so	so	0
was	was	vbds	was	be	0
it	it	pn31	it	it	0
solde	solde	vvn	sold	sell	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
harme	harme	n1	harm	harm	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
wares	wares	n2	wares	ware	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
lying	lying	vvg	lying	lie	0
so	so	av	so	so	0
long	long	av-j	long	long	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
water	water	n1	water	water	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
do	do	vdb	do	do	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
another	another	n-jn	another	another	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
company	company	n1	company	company	0
called	called	vvn	called	call	0
Peter	Peter	np1	Peter	Peter	0
Hertson	Hertson	np1	Hertson	Hertson	0
bought	bought	vvn	bought	buy	0
at	at	p-acp	at	at	0
Bristow	Bristow	np1	Bristow	Bristol	0
certain	certain	j	certain	certain	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
&	&	cc	&	and	0
laded	laded	j-vvn	jaded	jade	0
the	the	pno32	thee	they	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
transported	transported	vvn	transported	transport	0
for	for	p-acp	for	for	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
truely	truely	av-j	truly	true	0
paide	paide	vvn	paid	pay	0
at	at	p-acp	at	at	0
Bristow	Bristow	np1	Bristow	Bristol	0
,	,	,	,	,	0
the	the	dt	the	the	0
customs	customs	n2	customs	custom	0
&	&	cc	&	and	0
subsidies	subsidies	n2	subsidies	subsidy	0
due	due	j-jn	due	due	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
soveraign	soveraign	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
ship	ship	n1	ship	ship	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
goods	goods	n2-j	goods	good	0
arriving	arriving	vvg	arriving	arrive	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
:	:	:	:	:	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pety-custome	pety-custome	n1	petty-custom	petty-custom	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subsidie	subsidie	n1	subsidy	subsidy	0
there	there	a-acp	there	there	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
permit	permit	vvi	permit	permit	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Peter	Peter	np1	Peter	Peter	0
had	had	vhd	had	have	0
paid	paid	vvn	paid	pay	0
another	another	j-jn	another	another	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
goods	goods	n2-j	goods	good	0
(	(	(	(	(	0
the	the	dt	the	the	0
warrant	warrant	n1	warrant	warrant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
brought	brought	vvd	brought	bring	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
great	great	j	great	great	0
hinderance	hinderance	n1	hindrance	hindrance	0
,	,	,	,	,	0
and	and	cc	and	and	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenour	tenour	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
pitifully	pitifully	av-j	pitifully	pitiful	0
complaining	complaining	vvg	complaining	complain	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
wheras	wheras	cs	whereas	whereas	0
every	every	d	every	every	0
marchant	marchant	n1	merchant	merchant	0
,	,	,	,	,	0
bringing	bringing	vvg	bringing	bring	0
wares	wares	n2	wares	ware	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
realm	realm	n1	realm	realm	0
,	,	,	,	,	0
was	was	vbds	was	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
schedule	schedule	n1	schedule	schedule	0
wherein	wherein	c-crq	wherein	wherein	0
his	his	po31	his	his	0
name	name	n1	name	name	0
was	was	vbds	was	be	0
written	written	vvn	written	write	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
specification	specification	n1	specification	specification	0
&	&	cc	&	and	0
certificat	certificat	n1	certificate	certificate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
quantity	quantity	n1	quantity	quantity	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
schedule	schedule	n1	schedule	schedule	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
arrival	arrival	n1	arrival	arrival	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
paying	paying	vvg	paying	pay	0
therfore	therfore	av	therefore	therefore	0
ought	ought	vmd	ought	ought	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pety	pety	j	petty	petty	0
custome	custome	n1	custom	custom	0
do	do	vdb	do	do	0
compel	compel	vvi	compel	compel	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
76	76	crd	76	76	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
for	for	c-acp	for	for	0
ech	ech	d	each	each	0
mans	mans	ng1	men	man	0
name	name	n1	name	name	0
written	written	vvn	written	write	0
a	a	dt	a	a	0
peny	peny	n1	penny	penny	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
ye	ye	dt	the	the	0
arrival	arrival	n1	arrival	arrival	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
wherin	wherin	c-crq	wherein	wherein	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
are	are	vbr	are	be	0
found	found	vvn	found	find	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
commodities	commodities	n2	commodities	commodity	0
&	&	cc	&	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
soever	soever	av	soever	soever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
:	:	:	:	:	0
whenas	whenas	cs	whenas	whenas	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
chest	chest	n1	chest	chest	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
smal	smal	j	small	small	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
therfore	therfore	av	therefore	therefore	0
be	be	vbi	be	be	0
any	any	d	any	any	0
custome	custome	n1	custom	custom	0
due	due	j-jn	due	due	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
received	received	vvd	received	receive	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
use	use	n1	use	use	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
like	like	j	like	like	0
maner	maner	n1	manner	manner	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
The	The	dt	The	the	0
customers	customers	n2	customers	customer	0
subsidy	subsidy	n1	subsidy	subsidy	0
deale	deale	vvi	deal	deal	0
.	.	.	.	.	1
Wheras	Wheras	cs	Whereas	whereas	0
also	also	av	also	also	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
cocket	cocket	j	cocket	cocket	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
conveyance	conveyance	n1	conveyance	conveyance	0
&	&	cc	&	and	0
transportation	transportation	n1	transportation	transportation	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
(	(	(	(	(	0
albeit	albeit	cs	albeit	albeit	0
many	many	d	many	many	0
names	names	n2	names	name	0
were	were	vbdr	were	be	0
written	written	vvn	written	write	0
therein	therein	av	therein	therein	0
)	)	)	)	)	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
4-d	4-d	j	4-d	4-d	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pety	pety	j	petty	petty	0
custom	custom	n1	custom	custom	0
do	do	vdb	do	do	0
compel	compel	vvi	compel	compel	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
name	name	n1	name	name	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
cocket	cocket	j	cocket	cocket	0
,	,	,	,	,	0
4-d	4-d	j	4-d	4-d	0
.	.	.	.	.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
sort	sort	n1	sort	sort	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
subsidy	subsidy	n1	subsidy	subsidy	0
deale	deale	vvi	deal	deal	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Which	Which	r-crq	Which	which	0
contribution	contribution	n1	contribution	contribution	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
yere	yere	n1	year	year	0
extendeth	extendeth	vvz	extendeth	extend	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
great	great	j	great	great	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
unknown	unknown	j	unknown	unknown	0
prejudice	prejudice	n1	prejudice	prejudice	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
any	any	d	any	any	0
man	man	n1	man	man	0
could	could	vmd	could	can	0
suppose	suppose	vvi	suppose	suppose	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
enjoy	enjoy	vvb	enjoy	enjoy	0
their	their	po32	their	their	0
fees	fees	n2	fees	fee	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
doe	doe	vdi	do	do	0
him	him	pno31	him	he	0
faithfull	faithfull	j	faithful	faithful	0
service	service	n1	service	service	0
)	)	)	)	)	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
damage	damage	n1	damage	damage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
pitifully	pitifully	av-j	pitifully	pitiful	0
complaining	complaining	vvg	complaining	complain	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
do	do	vdb	do	do	0
alleage	alleage	vvi	allege	allege	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
subsidy	subsidy	n1	subsidy	subsidy	0
,	,	,	,	,	0
sometime	sometime	av	sometime	sometime	0
I2	I2	np1	I2	I2	0
.	.	.	.	.	1
d	d	sy	worser	d	0
.	.	.	.	.	0
and	and	cc	and	and	0
somtime	somtime	av	sometime	sometime	0
6.d	6.d	crd	6.d	6.d	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pound	pound	n1	pound	pound	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
marchandize	marchandize	n1	merchandise	merchandise	0
commeth	commeth	vvz	comes	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wharf	wharf	n1	wharf	wharf	0
,	,	,	,	,	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
prolong	prolong	vvi	prolong	prolong	0
&	&	cc	&	and	0
delay	delay	vvi	delay	delay	0
the	the	dt	the	the	0
time	time	n1	time	time	0
3.	3.	crd	3.	3.	0
or	or	cc	or	or	0
4.	4.	crd	4.	4.	0
weeks	weeks	n2	weeks	week	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
wil	wil	vmb	will	will	0
take	take	vvi	take	take	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
space	space	n1	space	space	0
other	other	j-jn	other	other	0
marchants	marchants	ng2	merchants	merchant	0
sei	sei	n1	sei	sei	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
not	not	xx	not	not	0
regarding	regarding	vvg	regarding	regard	0
whether	whether	cs	whither	whether	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
take	take	vvi	take	take	0
wet	wet	j	wet	wet	0
or	or	cc	or	or	0
no	no	av-dx	no	no	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
damage	damage	n1	damage	damage	0
aswel	aswel	p-acp	aswell	aswell	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
quicke	quicke	j	quick	quick	0
dispatch	dispatch	n1	dispatch	dispatch	0
,	,	,	,	,	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
pay	pay	vvi	pay	pay	0
custome	custome	n1	custom	custom	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
oftner	oftner	av-c	oftener	often	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
doe	doe	vdb	do	do	0
farther	farther	av-jc	farther	far	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
petie	petie	j	petie	petty	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subsidie	subsidie	n1	subsidy	subsidy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
have	have	vhb	have	have	0
appointed	appointed	vvn	appointed	appoint	0
among	among	p-acp	among	among	0
themselves	themselves	px32	themselves	themselves	0
certaine	certaine	j	certain	certain	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
seale	seale	vvi	seal	seal	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
so	so	av	so	so	0
soon	soon	av	soon	soon	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
the	the	dt	the	the	0
77	77	crd	77	77	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
said	said	vvd	said	say	0
goods	goods	n2-j	goods	good	0
be	be	vbb	be	be	0
customed	customed	vvn	customed	custom	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
sealing	sealing	vvg	sealing	seal	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
parties	parties	n2	parties	party	0
doe	doe	vdb	do	do	0
compell	compell	vvi	compel	compel	0
the	the	dt	the	the	0
marchants	marchants	ng1	merchants	merchant	0
abovenamed	abovenamed	j	abovenamed	abovenamed	0
,	,	,	,	,	0
(	(	(	(	(	0
upon	upon	p-acp	upon	upon	0
an	an	dt	and	a	0
use	use	n1	use	use	0
and	and	cc	and	and	0
custome	custome	n1	custom	custom	0
whereof	whereof	c-crq	whereof	whereof	0
themselves	themselves	px32	themselves	themselves	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
the	the	dt	the	the	0
authors	authors	n2	authors	author	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
paye	paye	vvi	pay	pay	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
contrarie	contrarie	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
justice	justice	n1	justice	justice	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
,	,	,	,	,	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
customers	customers	n2	customers	customer	0
have	have	vhb	have	have	0
ordained	ordained	vvn	ordained	ordain	0
betweene	betweene	p-acp	between	between	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
shall	shall	vmb	shall	shall	0
put	put	vvi	put	put	0
or	or	cc	or	or	0
make	make	vvi	make	make	0
up	up	a-acp	up	up	0
no	no	dx	no	no	0
cloth	cloth	n1	cloth	cloth	0
into	into	p-acp	into	into	0
fardels	fardels	n2	farthels	fardel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
transport	transport	vvi	transport	transport	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
unlesse	unlesse	cs	unless	unless	0
certaine	certaine	j	certain	certain	0
men	men	n2	men	man	0
appointed	appointed	vvn	appointed	appoint	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
purpose	purpose	n1	purpose	purpose	0
bee	bee	vbi	be	be	0
there	there	a-acp	there	there	0
present	present	j	present	present	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
clothes	clothes	n2	clothes	clothes	0
they	they	pns32	they	they	0
bee	bee	vbb	be	be	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
paine	paine	n1	pain	pain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
forfeiture	forfeiture	n1	forfeiture	forfeiture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
.	.	.	.	.	1
Also	Also	zz	Also	also	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
march	march	n1	march	march	0
ants	ants	n2	ants	ant	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
made	made	vvn	made	make	0
up	up	a-acp	up	up	0
such	such	d	such	such	0
fardels	fardels	n2	farthels	fardel	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresayde	foresayde	j-vvn	foresaid	foresay	0
parties	parties	n2	parties	party	0
assigned	assigned	vvn	assigned	assign	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
overseers	overseers	n2	overseers	overseer	0
refused	refused	vvd	refused	refuse	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
unlesse	unlesse	cs	unless	unless	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
comming	comming	vvg	coming	come	0
some	some	d	some	some	0
certaine	certaine	j	certain	certain	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
,	,	,	,	,	0
delaying	delaying	vvg	delaying	delay	0
and	and	cc	and	and	0
procrastinating	procrastinating	vvg	procrastinating	procrastinate	0
from	from	p-acp	from	from	0
day	day	n1	day	day	0
to	to	p-acp	to	to	0
day	day	n1	day	day	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
themselves	themselves	px32	themselves	themselves	0
listed	listed	vvd	listed	list	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
losse	losse	n1	loss	loss	0
and	and	cc	and	and	0
undoing	undoing	n-vvg	undoing	undo	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
contrarie	contrarie	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
liberties	liberties	n2	liberties	liberty	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
customers	customers	n2	customers	customer	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
office	office	n1	office	office	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
this	this	d	this	this	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
contribution	contribution	n1	contribution	contribution	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
paide	paide	vvn	paid	pay	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
